ln_wealth,log_hazard
17.419336,-2.6910033
17.41935,-2.6916461
17.41935,-2.6922884
17.41935,-2.6929312
17.419376,-2.6935742
17.419376,-2.6942186
17.425131,-2.6948624
17.427412,-2.6955068
17.427536,-2.6961515
17.427549,-2.6967967
17.427984,-2.6974432
17.428831,-2.6980891
17.429262,-2.6987355
17.429478,-2.6993823
17.431335,-2.7000306
17.433807,-2.7006781
17.435629,-2.7013264
17.438116,-2.7019749
17.43857,-2.7026246
17.439718,-2.703274
17.439762,-2.7039237
17.439766,-2.7045739
17.439793,-2.7052255
17.439816,-2.7058764
17.439846,-2.7065279
17.443047,-2.7071798
17.447386,-2.7078331
17.447386,-2.7084858
17.448296,-2.7091389
17.453005,-2.7097926
17.45344,-2.7104466
17.456093,-2.711102
17.456171,-2.7117567
17.456829,-2.7124121
17.457117,-2.7130678
17.45764,-2.7137249
17.459654,-2.7143815
17.459837,-2.7150385
17.459837,-2.7156961
17.46513,-2.7163548
17.467388,-2.7170131
17.467596,-2.7176719
17.467648,-2.7183311
17.467752,-2.7189915
17.467804,-2.7196517
17.467834,-2.7203121
17.474819,-2.7209733
17.475187,-2.7216353
17.478636,-2.7222972
17.482195,-2.7229595
17.48592,-2.7236221
17.490957,-2.7242854
17.491634,-2.7249498
17.491659,-2.7256138
17.491659,-2.7262783
17.491659,-2.7269433
17.491659,-2.7276094
17.492443,-2.7282753
17.492655,-2.7289414
17.493193,-2.7296081
17.496721,-2.7302761
17.498646,-2.7309437
17.502108,-2.7316117
17.504753,-2.7322803
17.505589,-2.73295
17.506437,-2.7336195
17.507103,-2.7342892
17.508307,-2.7349594
17.508556,-2.735631
17.509924,-2.7363021
17.510248,-2.7369738
17.510546,-2.7376459
17.511688,-2.7383182
17.513548,-2.7389922
17.513733,-2.7396655
17.519869,-2.7403395
17.524733,-2.7410138
17.525049,-2.7416894
17.525259,-2.7423646
17.527544,-2.7430403
17.539227,-2.7437165
17.539227,-2.7443941
17.539249,-2.7450712
17.542048,-2.7457485
17.54207,-2.7464266
17.54207,-2.7471058
17.542095,-2.7477849
17.542095,-2.7484641
17.542286,-2.7491441
17.542917,-2.7498252
17.543779,-2.7505059
17.549232,-2.7511871
17.551893,-2.751869
17.554396,-2.7525511
17.557003,-2.7532346
17.557697,-2.7539177
17.560823,-2.7546012
17.56214,-2.7552853
17.564083,-2.7559705
17.565607,-2.7566555
17.566236,-2.7573409
17.566261,-2.7580268
17.566261,-2.7587142
17.566261,-2.7594008
17.566284,-2.7600882
17.568291,-2.760776
17.572487,-2.7614651
17.573578,-2.7621539
17.575537,-2.7628431
17.576967,-2.7635326
17.577036,-2.7642238
17.578859,-2.7649145
17.582832,-2.7656054
17.582855,-2.7662971
17.582855,-2.7669892
17.582878,-2.7676828
17.582901,-2.7683756
17.584009,-2.7690692
17.586859,-2.7697632
17.587582,-2.7704585
17.59231,-2.7711535
17.593313,-2.7718489
17.596594,-2.7725449
17.598518,-2.7732422
17.598562,-2.7739391
17.598745,-2.7746365
17.599133,-2.7753344
17.600574,-2.7760336
17.600744,-2.7767324
17.60104,-2.7774317
17.606827,-2.7781315
17.606873,-2.7788329
17.6075,-2.7795336
17.608259,-2.7802348
17.608458,-2.7809367
17.609379,-2.7816389
17.612026,-2.7823427
17.613831,-2.7830458
17.615849,-2.7837496
17.617432,-2.7844539
17.617517,-2.7851596
17.61754,-2.7858648
17.61754,-2.7865705
17.617563,-2.7872767
17.617563,-2.7879846
17.625124,-2.7886918
17.625977,-2.7893994
17.626474,-2.7901077
17.626486,-2.7908175
17.627359,-2.7915266
17.627493,-2.7922363
17.627625,-2.7929466
17.627647,-2.7936573
17.627668,-2.7943697
17.627668,-2.7950814
17.627668,-2.7957938
17.627802,-2.7965064
17.631943,-2.7972207
17.632524,-2.7979345
17.634233,-2.7986488
17.635424,-2.7993636
17.6355,-2.8000801
17.640116,-2.8007958
17.640387,-2.8015122
17.640409,-2.8022289
17.642368,-2.8029473
17.64337,-2.8036652
17.64337,-2.8043838
17.643913,-2.8051026
17.644892,-2.8058231
17.645824,-2.8065431
17.647602,-2.8072636
17.647949,-2.8079846
17.651758,-2.808706
17.652531,-2.8094292
17.654099,-2.8101516
17.656082,-2.8108747
17.656187,-2.8115983
17.656519,-2.8123236
17.657928,-2.8130481
17.657969,-2.8137734
17.658827,-2.8144991
17.660603,-2.8152263
17.661781,-2.815953
17.661781,-2.8166804
17.66197,-2.8174081
17.662098,-2.8181376
17.662397,-2.8188665
17.664555,-2.8195958
17.666147,-2.8203259
17.666487,-2.8210573
17.668934,-2.8217883
17.669062,-2.8225198
17.670328,-2.823252
17.672802,-2.8239846
17.673412,-2.8247187
17.674385,-2.8254526
17.674585,-2.8261867
17.675253,-2.8269215
17.676313,-2.8276579
17.678078,-2.8283937
17.679005,-2.8291302
17.681025,-2.8298671
17.681681,-2.8306055
17.681908,-2.8313437
17.682037,-2.8320823
17.682222,-2.8328214
17.68264,-2.8335621
17.683832,-2.8343022
17.683832,-2.835043
17.683832,-2.8357844
17.683832,-2.8365273
17.683853,-2.8372698
17.68574,-2.8380127
17.685946,-2.8387561
17.685955,-2.8395002
17.686068,-2.840246
17.68615,-2.840991
17.686441,-2.8417368
17.690641,-2.842483
17.692068,-2.843231
17.692558,-2.8439784
17.692558,-2.8447263
17.692848,-2.845475
17.693802,-2.846225
17.693935,-2.8469748
17.694111,-2.8477249
17.694639,-2.8484757
17.695629,-2.8492281
17.697235,-2.8499801
17.697937,-2.8507326
17.699423,-2.8514857
17.699617,-2.8522403
17.700266,-2.8529944
17.70047,-2.8537493
17.702871,-2.8545046
17.704224,-2.8552604
17.707567,-2.8560178
17.707855,-2.856775
17.708344,-2.8575325
17.709055,-2.8582907
17.7092,-2.8590505
17.70945,-2.8598099
17.71423,-2.86057
17.715157,-2.8613303
17.715275,-2.8620925
17.715946,-2.862854
17.719744,-2.8636165
17.725752,-2.8643792
17.734409,-2.8651435
17.734461,-2.8659077
17.734701,-2.8666723
17.740509,-2.8674374
17.741949,-2.8682041
17.742205,-2.8689704
17.742348,-2.8697374
17.748999,-2.8705049
17.749022,-2.871273
17.749207,-2.8720427
17.749222,-2.872812
17.74925,-2.8735819
17.749271,-2.8743522
17.749273,-2.8751245
17.750568,-2.875896
17.752069,-2.8766682
17.755587,-2.8774412
17.755869,-2.8782156
17.756668,-2.8789897
17.766216,-2.8797643
17.766312,-2.8805397
17.766369,-2.8813164
17.766811,-2.882093
17.767601,-2.88287
17.770134,-2.8836477
17.770134,-2.8844271
17.778837,-2.8852057
17.779331,-2.8859854
17.780033,-2.8867655
17.781509,-2.8875461
17.782837,-2.8883286
17.784292,-2.8891103
17.786497,-2.8898928
17.786982,-2.890676
17.786982,-2.8914609
17.787001,-2.8922453
17.787001,-2.8930302
17.787001,-2.8938158
17.787951,-2.894603
17.788158,-2.89539
17.78816,-2.8961773
17.788177,-2.8969655
17.788328,-2.8977551
17.788364,-2.8985445
17.788364,-2.8993344
17.794315,-2.900125
17.794991,-2.9009173
17.795416,-2.9017091
17.796713,-2.9025016
17.798403,-2.9032948
17.810787,-2.9040885
17.811123,-2.9048839
17.812378,-2.9056787
17.813749,-2.9064744
17.816046,-2.9072707
17.816469,-2.9080687
17.816486,-2.9088662
17.816486,-2.9096642
17.816505,-2.9104631
17.816505,-2.9112635
17.817228,-2.9120636
17.820913,-2.9128642
17.823771,-2.9136655
17.823921,-2.9144688
17.829639,-2.9152713
17.829657,-2.9160745
17.831263,-2.9168785
17.834299,-2.9176843
17.834988,-2.9184895
17.835575,-2.9192953
17.838682,-2.9201019
17.840963,-2.9209089
17.842779,-2.9217179
17.844481,-2.9225264
17.845417,-2.9233356
17.845652,-2.9241452
17.847485,-2.9249568
17.848547,-2.9257679
17.849733,-2.9265797
17.851377,-2.927392
17.852839,-2.9282062
17.854025,-2.9290199
17.854025,-2.9298344
17.860384,-2.9306495
17.861435,-2.9314663
17.861912,-2.9322827
17.861912,-2.9330997
17.861912,-2.9339175
17.861912,-2.934737
17.861929,-2.9355562
17.862448,-2.9363759
17.865416,-2.9371963
17.865606,-2.9380174
17.865705,-2.9388402
17.866356,-2.9396627
17.881304,-2.9404857
17.881508,-2.9413095
17.884977,-2.9421351
17.88599,-2.9429603
17.887304,-2.9437861
17.888422,-2.9446127
17.890774,-2.945441
17.891113,-2.9462688
17.891586,-2.9470975
17.891792,-2.9479268
17.896353,-2.9487579
17.896889,-2.9495885
